Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
14:18:28,872,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,20,0,-18.25,2.56,16,0,14,64,10,145,146,67,21,8,55,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:29,875,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,4,0,-17.25,2.56,16,0,14,64,10,145,146,67,44,8,47,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:30,871,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,12,0,-18,2.51,16,0,14,64,10,145,146,67,163,8,43,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:31,889,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,28,0,-18.75,2.608,16,0,14,64,10,145,146,67,162,8,42,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:31,863,185,78,86,86,30,14,0.06,0,32,1,8,0,12,140,0,12,0,-17.25,2.51,16,0,14,64,10,145,146,67,69,8,47,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:32,855,185,78,86,86,30,14,0.06,0,32,1,8,0,12,140,0,4,0,-18.25,2.608,16,0,14,64,10,145,146,67,17,8,47,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:33,859,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,12,0,-18.25,2.56,16,0,14,64,10,145,146,67,12,8,47,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:34,867,185,78,86,86,33,14,0.06,0,32,1,8,0,12,140,0,4,0,-17.75,2.56,16,0,14,64,10,145,146,67,167,7,44,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:35,881,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,12,0,-18,2.56,16,0,14,64,10,145,146,67,137,6,42,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:36,860,185,78,86,86,30,13.9,0.06,0,32,1,8,0,12,140,0,4,0,-17.75,2.608,16,0,14,64,10,145,146,67,157,6,42,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
