date;time;80x01-02_engine-rpm;80x03_coolant_temp;80x04_ambient_temp;80x05_intake_air_temp;80x06_fuel_temp;80x07_map_kpa;80x08_battery_voltage;80x09_throttle_pot;80x0A_idle_switch;80x0B_aircon;80x0C_park_neutral_switch;80x0F_idle_set_point;80x10_idle_hot;80x12_iac_position;80x13-14_idle_error;80x15_ignition_advance_offset;80x16_ignition_advance;80x17-18_coil_time;80x19_crankshaft_position_sensor;coolant_sensor_fault;air_intake_sensor_fault;fuel_pump_circuit_fault;throttle_pot_fault;0x80_raw;7dx01_ignition_switch;7dx02_throttle_angle;7dx04_air_fuel_ratio;7dx06_lambda_voltage;7dx07_lambda_sensor_frequency;7dx08_lambda_sensor_dutycycle;7dx09_lambda_sensor_status;7dx0A_closed_loop;7dx0B_long_term_fuel_trim;7dx0C_short_term_fuel_trim;7dx0D_carbon_canister_dutycycle;7dx0F_idle_base_pos;7dx12_ignition_advance2;7dx13_idle_speed_offset;7dx1F_jack_count;0x7d_raw
10.12.2023;19:38:50.023;1105;49;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;14;Apr 48;16;false;false;false;false;801C045168444455238E030020082080002B886F0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:38:51;1094;50;13;13;30;34;14. Feb;0.06;0;true;true;0;43;111;128;0;15. Mai;Apr 48;16;false;false;false;false;801C044669444455228E030020082080002B886F0018004F08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:38:53;1109;50;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C045569444455238E030020082080002B886F0000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:38:54;1092;50;13;13;30;36;14. Feb;0.06;0;true;true;0;43;111;128;0;13. Mai;Apr 48;16;false;false;false;false;801C044469444455248E030020082080002B886F0000004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:38:56;1095;50;13;13;30;36;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C044769444455248E030020082080002B886F0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:38:58.015;1096;51;13;13;30;34;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C04486A444455228E030020082080002B886F0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:38:59;1106;51;13;13;30;34;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C04526A444455228E030020082080002B886F0000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:01;1090;52;13;13;30;36;14. Feb;0.06;0;true;true;0;43;111;128;0;14. Mai;Apr 48;16;false;false;false;false;801C04426B444455248E030020082080002B886F0010004D08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:02;1098;52;13;13;30;36;14. Feb;0.06;0;true;true;0;43;111;128;0;14;Apr 48;16;false;false;false;false;801C044A6B444455248E030020082080002B886F000C004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:04;1083;52;13;13;30;37;14. Feb;0.06;0;true;true;0;43;111;128;0;14. Mai;Apr 48;16;false;false;false;false;801C043B6B444455258E030020082080002B886F0008004D08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:04;1096;52;13;13;30;34;14. Feb;0.06;0;true;true;0;43;111;128;0;15;Apr 48;16;false;false;false;false;801C04486B444455228E030020082080002B886F0010004E08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:06;1061;52;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;12;Apr 48;16;false;false;false;false;801C04256B444455238E030020082080002B886F0004004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:08.021;1085;52;13;13;30;37;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043D6B444455258E030020082080002B886F0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:09;1083;53;13;13;30;37;14. Feb;0.06;0;true;true;0;43;111;128;0;13. Mai;Apr 48;16;false;false;false;false;801C043B6C444455258E030020082080002B886F0004004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:10.019;1092;53;13;13;30;36;14. Feb;0.06;0;true;true;0;43;111;128;0;12;Apr 48;16;false;false;false;false;801C04446C444455248E030020082080002B886F0004004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:11;1079;53;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;14;Apr 48;16;false;false;false;false;801C04376C444455238E030020082080002B886F0004004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:13;1081;53;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;13. Mai;Apr 48;16;false;false;false;false;801C04396C444455238E030020082080002B886F0004004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:14;1083;53;13;13;30;34;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043B6C444455228E030020082080002B886F0008004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:15;1075;53;13;13;30;37;14. Feb;0.06;0;true;true;0;43;111;128;0;14. Mai;Apr 48;16;false;false;false;false;801C04336C444455258E030020082080002B886F0008004D08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
