Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
17:20:23,0,48,50,53,86,94,12,0.06,0,32,1,8,0,43,136,140,512,0,-21.75,6.474,0,51,186,64,10,145,67,3,88,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:24,0,48,50,53,86,94,12,0.06,0,32,1,8,0,43,136,140,512,0,-21.75,6.474,0,51,186,64,10,145,67,3,88,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:25,0,48,50,55,86,94,12,0.06,0,32,1,8,0,43,136,140,512,0,-21.75,6.474,0,51,186,64,10,145,67,3,88,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:26,0,48,50,55,86,94,12,0.06,0,32,1,8,0,43,136,140,512,0,-21.75,6.474,0,51,186,64,10,145,67,3,88,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:27,0,48,50,55,86,94,12,0.06,0,32,1,8,0,43,136,140,512,0,-21.75,6.474,0,51,186,64,10,145,67,3,88,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:28,0,48,50,55,86,93,11.5,0.06,0,32,1,8,0,43,136,140,512,0,-21.75,7.37,16,51,186,64,10,145,67,3,90,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:29,211,48,50,55,86,89,10.3,0.06,0,32,1,8,0,43,136,140,512,0,-17.75,8.068,16,51,186,64,10,145,66,3,86,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:30,1012,48,50,55,86,46,11.2,0.06,0,32,1,8,0,43,136,140,200,0,-17.75,6.972,16,51,186,64,10,145,70,3,87,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:31,1065,48,50,55,86,46,11.8,0.06,0,32,1,8,0,43,136,140,160,0,-17.75,6.672,16,51,186,64,10,145,73,3,86,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:32,1046,48,50,55,86,46,11.9,0.06,0,32,1,8,0,43,136,140,172,0,-17.75,6.474,16,51,186,64,10,145,76,3,85,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:33,1047,48,50,55,86,41,12,0.06,0,32,1,8,0,43,136,129,208,0,-13.75,6.374,16,51,186,64,10,145,76,3,87,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:34,1002,48,50,55,86,44,12.2,0.06,0,32,1,8,0,43,136,129,220,0,-13.75,6.274,16,51,186,64,10,145,79,3,86,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:35,1016,48,50,55,86,44,12.2,0.06,0,32,1,8,0,43,136,129,200,0,-13.75,6.174,16,51,186,64,10,145,82,3,85,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
17:20:36,1025,48,50,55,86,41,12.4,0.06,0,32,1,8,0,43,136,129,200,0,-13.75,6.076,16,51,186,64,10,145,84,3,83,0,0,0,0,131,100,0,190,104,220,44,162,4,0,83,190,104,0,83,190,104,37,83,190,104
